rid	src_en	target_err	mt_de
1082	The completion notes in this Appendix are a supplement to the main CDS Declaration Completion Instructions for Imports .	NAM	 Die Vervollständigungshinweise in diesem Anhang sind eine Ergänzung zu den Hauptanweisungen zum Vervollständigen der CDS-Erklärung für Importe.
1083	Standard terms The standard terms govern the commercial relationship between the Legal Aid Agency (LAA) and legal aid providers.	NAM	 Allgemeine Geschäftsbedingungen Die Allgemeinen Geschäftsbedingungen regeln die Geschäftsbeziehung zwischen der Legal Aid Agency (LAA) und den Anbietern von Rechtshilfe.
1084	There is a separate accessibility statement for documents, including Word and PDF forms that we publish on GOV.UK .	NAM	Für Dokumente, einschließlich Word- und PDF-Formulare, die wir auf GOV.UK veröffentlichen, gibt es eine separate Erklärung zur Barrierefreiheit.
1085	DHSC , in partnership with SfC , is committed to continue to build on the progress we have made.	NAM	 DHSC ist in Partnerschaft mit SfC entschlossen, auf den erzielten Fortschritten weiter aufzubauen.
1086	This PPN sets out how payment approaches can be taken into account in the procurement of major government contracts.	NAM	 In diesem PPN wird dargelegt, wie Zahlungsansätze bei der Vergabe wichtiger öffentlicher Aufträge berücksichtigt werden können.
1087	You can directly access the URLs for the ODT , ODS and XML versions of the UK Sanctions List.	NAM	 Sie können direkt auf die URLs für die ODT-, ODS- und XML-Versionen der britischen Sanktionsliste zugreifen.
1088	If you require any of the PDF’s on this page in an alternative format then please contact: DDC-MODInternet@mod.gov.uk .	NAM	 Wenn Sie eines der PDFs auf dieser Seite in einem anderen Format benötigen, wenden Sie sich bitte an: DDC-MODInternet@mod.gov.uk.
1089	Exceptional factors will be considered when granting exemptions and organisation may make requests to the Cabinet Office for consideration.	NAM	 Bei der Gewährung von Ausnahmen werden außergewöhnliche Umstände berücksichtigt und Organisationen können entsprechende Anträge an das Kabinettsbüro zur Prüfung stellen.
1090	It is intended for all those involved in the immunisation programme pathway, including commissioners, providers and advisers in England.	NAM	 Es richtet sich an alle, die am Ablauf des Impfprogramms beteiligt sind, einschließlich Auftraggeber, Anbieter und Berater in England.
1091	For now, you can also file your company accounts online or send paper accounts to Companies House by post.	NAM	 Derzeit können Sie Ihren Unternehmensabschluss auch online einreichen oder Papierabschlüsse per Post an Companies House senden.
1092	Read Ryan’s story about how he secured his dream job in a hospital and has worked throughout the pandemic.	NAM	Lesen Sie Ryans Geschichte darüber, wie er seinen Traumjob in einem Krankenhaus bekam und während der gesamten Pandemie arbeitete.
1093	This guide explains how to use the Driver and Vehicle Standards Agency ( DVSA ) practical test business service.	NAM	 In diesem Handbuch wird die Nutzung des praktischen Prüfungsservices der Driver and Vehicle Standards Agency (DVSA) erläutert.
1094	This chapter is available to view or download from the National Travel Health Network and Centre ( NaTHNaC ).	NAM	 Dieses Kapitel kann beim National Travel Health Network and Centre (NaTHNaC) angezeigt oder heruntergeladen werden.
1095	We are also carrying out transition reviews into current EU trade remedy measures which are relevant to UK industries.	NAM	 Wir führen außerdem Übergangsprüfungen zu den aktuellen Handelsschutzmaßnahmen der EU durch, die für die britische Industrie relevant sind.
1096	Information for claimants Financial help when having a baby Calculate your leave and pay when you have a child	NAM	 Informationen für Antragsteller Finanzielle Hilfe bei der Geburt eines Kindes Berechnen Sie Ihren Urlaub und Ihr Gehalt, wenn Sie ein Kind haben
1097	This notice sets out the minimum requirements for medical stores for UK Merchant Shipping and Fishing Vessels (Medical Stores)	NAM	 In dieser Mitteilung werden die Mindestanforderungen für medizinische Vorräte für britische Handelsschiffe und Fischereifahrzeuge (medizinische Vorräte) festgelegt.
1098	Numerator/ Denominator Line Statutory Accounts Location Comments Enter value in FVA as + Numerator Operating surplus/(deficit) (social housing lettings)	NAM	 Zähler/ Nenner Zeile Jahresabschluss Ort Bemerkungen Wert in FVA eintragen als + Zähler Betriebsüberschuss/(-defizit) (Vermietung von Sozialwohnungen)
1099	Copies of this leaflet are available free to order from the Health Publications orderline, using product code 2024QG1EN .	NAM	 Exemplare dieser Broschüre können kostenlos über die Bestellhotline von Health Publications unter der Produktnummer 2024QG1EN bestellt werden.
1100	The Department for Work and Pensions ( DWP ) follows the policies and procedures in the documents listed here.	NAM	Das Ministerium für Arbeit und Renten (DWP) befolgt die Richtlinien und Verfahren in den hier aufgeführten Dokumenten.
1101	This team is the only DWP authorised responder on any question about a bid and a standard or policy.	NAM	 Dieses Team ist der einzige autorisierte Ansprechpartner des DWP für alle Fragen zu einem Angebot und einem Standard oder einer Richtlinie.
1102	It specifies all varieties by species, currently on the UK National Lists and includes details of maintainers and agents.	NAM	 Es listet alle Sorten nach Art auf, die derzeit auf den britischen Nationallisten stehen, und enthält Einzelheiten zu den Pflegern und Vertretern.
1103	It will be regularly reviewed and updated by GBE-N, particularly as it develops further maturity over its Alliancing Structure.	NAM	 Es wird von GBE-N regelmäßig überprüft und aktualisiert, insbesondere wenn es im Laufe seiner Allianzstruktur an Reife gewinnt.
1104	The Local Regeneration Fund supersedes the Pathfinder pilot and changes to the project adjustment request ( PAR ) process.	NAM	 Der Local Regeneration Fund ersetzt das Pathfinder-Pilotprojekt und führt Änderungen am Prozess der Projektanpassungsanforderung (PAR) durch.
1105	GVP apply to marketing authorisation holders (MAHs), the European Medicines Agency and medicines regulatory authorities in EU member states.	NAM	 GVP gelten für Zulassungsinhaber (MAHs), die Europäische Arzneimittel-Agentur und die Arzneimittelaufsichtsbehörden in den EU-Mitgliedsstaaten.
1106	Get help If you need access to older copies of the Gazette, please contact the PVS Helpdesk: pvs.helpdesk@apha.gov.uk .	NAM	 Hilfe erhalten Wenn Sie Zugriff auf ältere Ausgaben der Gazette benötigen, wenden Sie sich bitte an den PVS-Helpdesk: pvs.helpdesk@apha.gov.uk.
1107	Further detail of the regulator’s approach to Value for Money regulation is set out in Regulating the Standards .	NAM	 Weitere Einzelheiten zum Ansatz der Regulierungsbehörde zur Value-for-Money-Regulierung sind in Regulating the Standards dargelegt.
1108	You can check screening and consent decisions made under the EIA Regulations in the public register of decisions .	NAM	Sie können die im Rahmen der UVP-Verordnung getroffenen Screening- und Genehmigungsentscheidungen im öffentlichen Entscheidungsregister überprüfen.
1109	Core Spending Power measures the core revenue funding available for local authority services through the local government finance settlement.	NAM	 Die Kernausgabenkraft misst die Kerneinnahmen, die den Dienstleistungen der Kommunalverwaltungen durch die Finanzvereinbarung der Kommunalverwaltung zur Verfügung stehen.
1110	The independent Women in Finance Charter Board comprises representatives from financial services firms which are signatories to the Charter.	NAM	 Der unabhängige Vorstand der Women in Finance Charter besteht aus Vertretern von Finanzdienstleistungsunternehmen, die die Charta unterzeichnet haben.
1111	Translations of this leaflets are available to download in: Arabic , Bengali , Gujarati , Punjabi and Urdu .	NAM	 Übersetzungen dieser Broschüren stehen zum Download in folgenden Sprachen zur Verfügung: Arabisch, Bengalisch, Gujarati, Punjabi und Urdu.
1112	Positive Divided by + Denominator Interest capitalised Note: Fixed assets Negative + Interest payable and financing costs SOCI /	NAM	 Positiv Geteilt durch + Nenner Kapitalisierte Zinsen Hinweis: Anlagevermögen Negativ + Zinsverbindlichkeiten und Finanzierungskosten SOCI /
1113	This document is intended to guide manufacturers on what data to include within a Post market surveillance report (PMSR).	NAM	 Dieses Dokument soll Herstellern als Orientierungshilfe dienen, welche Daten in einen Post-Market-Surveillance-Bericht (PMSR) aufgenommen werden müssen.
1114	These pages will help registered early years providers and schools delivering the EYFS with what they need to know.	NAM	 Auf diesen Seiten finden registrierte Anbieter von frühkindlicher Bildung und Schulen, die das EYFS anbieten, alles, was sie wissen müssen.
1115	"Is it advisable to treat this approach similar to a short approach and basically do a ""power off 180""?"	NUM	Ist es ratsam, diesen Anflug ähnlich wie einen kurzen Anflug zu behandeln und grundsätzlich eine „Power-Off-180“ durchzuführen?
1116	I requested for minimum 2 to 3 weeks leave, but got only 1 week leave due to work load.	NUM	 Ich habe mindestens 2 bis 3 Wochen Urlaub beantragt, aufgrund der Arbeitsbelastung aber nur 1 Woche Urlaub bekommen.
1117	There is about 40 to 50 ft of 3/4 pex that only has one function, feeding the outside taps.	NUM	 Es handelt sich um ein etwa 12 bis 15 Meter langes 3/4-Pex-Rohr, das nur eine Funktion hat: die Versorgung der Außenhähne.
1118	So I am a business owner, a managing director of a small company made up of about 5 members.	NUM	 Ich bin also Geschäftsinhaber und Geschäftsführer einer kleinen Firma mit etwa fünf Mitgliedern.
1119	I am trying to perform testing on firmware functions that are deeply integrated with the rest of the system.	NUM	 Ich versuche, Tests an Firmware-Funktionen durchzuführen, die tief in den Rest des Systems integriert sind.
1120	While taxiing on an inclined runway of say 5 deg, is the aircraft pitch 5 degree or 0 degree?.	NUM	 Beträgt die Neigung des Flugzeugs beim Rollen auf einer Start- und Landebahn mit einer Neigung von beispielsweise 5 Grad 5 Grad oder 0 Grad?
1121	"The roof will have a 32' ridge beam, made of three layers of staggered 2""x10""s, glued and nailed together."	NUM	 Das Dach wird einen 32 Fuß langen Firstbalken haben, der aus drei versetzten Schichten von 2 x 10 Zoll besteht, die zusammengeklebt und -genagelt sind.
1122	Looks like he was using a dryer plug for his air compressor, I am used to the twist lock.	NUM	 Sieht aus, als hätte er einen Trocknerstecker für seinen Luftkompressor verwendet, ich bin an den Drehverschluss gewöhnt.
1123	The honey swirl test 1 , 2 , 3 claims real honey remembers the shape of the honey comb.	NUM	 Der Honigwirbeltest 1, 2, 3 besagt, dass echter Honig sich an die Form der Honigwabe erinnert.
1124	Last week, a new HR manager circulated an updated version (3 years later) requesting all to sign and approve.	NUM	Letzte Woche hat ein neuer Personalmanager eine aktualisierte Version (drei Jahre später) in Umlauf gebracht und alle aufgefordert, diese zu unterzeichnen und zu genehmigen.
1125	2 is where I could drill to get them out and feed the outlet 1 in the first picture.	NUM	 2 ist die Stelle, an der ich bohren könnte, um sie herauszuholen und den Auslass 1 im ersten Bild zu versorgen.
1126	It's 4 times a year unless the other site had issues and would be asked for those weekends too.	NUM	 Dies geschieht viermal im Jahr, es sei denn, die andere Site hat Probleme und wird auch für diese Wochenenden angefragt.
1127	Since 2020 especially, more and more people have been working from home and creating a schedule tailored to them.	NUM	 Besonders seit 2020 arbeiten immer mehr Menschen von zu Hause aus und gestalten ihre Arbeitszeiten individuell.
1128	My question is, do I deserve to get unpaid for my 2 days absence because of a technical issue?	NUM	 Meine Frage lautet: Habe ich Anspruch darauf, für meine zweitägige Abwesenheit aufgrund eines technischen Problems nicht bezahlt zu werden?
1129	The dry well top is at the same level as the basement floor (about 4 feet below the yard).	NUM	 Die Oberseite des Trockenbrunnens befindet sich auf der gleichen Ebene wie der Kellerboden (etwa 4 Fuß unter dem Hof).
1130	I'm glad if I can request to have a table in one of the few rooms with 2-3 tables.	NUM	 Ich freue mich, wenn ich in einem der wenigen Räume mit 2-3 Tischen einen Tisch anfordern kann.
1131	I want to pour a 1” slab in an area roughly 13x9 to keep weeds from growing in it.	NUM	 Ich möchte eine 1-Zoll-Platte in einem Bereich von etwa 13 x 9 gießen, um das Wachstum von Unkraut zu verhindern.
1132	I am looking for some advice for mounting a 2x4 between existing studs that have the wide side out.	NUM	 Ich suche nach Ratschlägen zur Montage eines 2x4 zwischen vorhandenen Bolzen, bei denen die breite Seite nach außen zeigt.
1133	"Let’s say a brand of coffee has 0.1% caffeine left, and the removal process is ""a natural water-based method""."	NUM	Nehmen wir an, eine Kaffeesorte enthält noch 0,1 % Koffein und der Entfernungsprozess erfolgt auf „natürliche Weise auf Wasserbasis“.
1134	"Flight delays and/or diversions due to ""rocket launch failure""; was January 16, 2025's Starship Test Flight 7 the first?."	NUM	 Flugverspätungen und/oder -umleitungen aufgrund eines „fehlgeschlagenen Raketenstarts“; war der Starship-Testflug 7 am 16. Januar 2025 der erste?
1135	So I am interested how should I interpret this sentence, and how well is it supported in this paper?	NUM	 Daher interessiert mich, wie ich diesen Satz interpretieren soll und wie gut er in diesem Dokument belegt wird.
1136	"Top rated comments claim that (1) both answers were ""complete gibberish"" or (2) ""word salad"" Original answer began with:"	NUM	 In den am höchsten bewerteten Kommentaren wird behauptet, dass (1) beide Antworten „völliges Kauderwelsch“ oder (2) „Wortsalat“ gewesen seien. Die ursprüngliche Antwort begann mit:
1137	Perhaps these may help: Any recent (post-2020) comprehensive reviews or meta-analyses on cognitive and physiological fatigue in knowledge work.	NUM	 Vielleicht helfen diese: Alle aktuellen (nach 2020) umfassenden Übersichten oder Metaanalysen zu kognitiver und physiologischer Ermüdung bei Wissensarbeit.
1138	Now, on top of my existing duties, I am leading a team of junior developers on a critical project.	NUM	 Jetzt leite ich zusätzlich zu meinen bestehenden Aufgaben ein Team von Juniorentwicklern bei einem kritischen Projekt.
1139	Did Elon Musk's team assemble a cluster of GPUs in 19 days which would usually have taken 4 years?.	NUM	 Hat das Team von Elon Musk in 19 Tagen einen GPU-Cluster zusammengestellt, wofür normalerweise 4 Jahre gedauert hätten?
1140	or spot to spot tickets will be cheaper for 4 of us if I buy the tickets now ?	NUM	 oder sind Spot-to-Spot-Tickets für uns vier günstiger, wenn ich die Tickets jetzt kaufe?
1141	Especially considering the fact they have 3 people serving 3 months notice who are all off on long-term sick!	NUM	Vor allem wenn man bedenkt, dass drei Mitarbeiter eine Kündigungsfrist von drei Monaten haben und alle langfristig krankgeschrieben sind!
1142	My issue is that I can’t find the right adapter to make it work with my 5/8 gas line.	NUM	 Mein Problem ist, dass ich nicht den richtigen Adapter finde, damit es mit meiner 5/8-Gasleitung funktioniert.
1143	"I have been breaking the blocks apart and removing the old mortar with a 4"" masonry chisel and mallet."	NUM	 Ich habe die Blöcke auseinandergebrochen und den alten Mörtel mit einem 4-Zoll-Maurermeißel und einem Hammer entfernt.
1144	I used old 5 1/4 boards as siding and have gaps what can I use to seal the cracks	NUM	 Ich habe alte 5 1/4 Bretter als Verkleidung verwendet und habe Lücken, was kann ich verwenden, um die Risse abzudichten
1145	The Problem My motor (a 3000-series model) has started making a very loud grinding/humming noise, similar to a tractor.	NUM	 Das Problem: Mein Motor (ein Modell der 3000er-Serie) hat angefangen, ein sehr lautes Schleif-/Summgeräusch zu machen, ähnlich wie ein Traktor.
1146	This person bullied my brother when he was 17 years old, so was forced out of the work place.	NUM	 Diese Person hat meinen Bruder schikaniert, als er 17 Jahre alt war, und wurde deshalb aus dem Arbeitsleben gedrängt.
1147	PROD machines are used by customers during daytime and maintenance windows are during off peak hours like night time.	NUM	 PROD-Maschinen werden von Kunden tagsüber verwendet und Wartungsfenster finden außerhalb der Spitzenzeiten, beispielsweise nachts, statt.
1148	They recommended me pick either the 5/8 concrete gravel or 1” concrete road base because it’s the closest one.	NUM	 Sie empfahlen mir, entweder 5/8-Betonkies oder 1-Zoll-Betonstraßenunterbau zu wählen, weil das am nächsten kommt.
1149	I'm looking at exterior siding options for a shed I'm building, and am leaning towards redwood board and batten.	NUM	 Ich schaue mir die Außenverkleidungsoptionen für einen Schuppen an, den ich baue, und tendiere zu Brettern und Latten aus Redwood.
1150	The trusses span a little over 26’ and I’m planning on hanging the bag about 4’ from the wall.	NUM	Die Spannweite der Träger beträgt etwas mehr als 26 Fuß und ich plane, die Tasche etwa 4 Fuß von der Wand entfernt aufzuhängen.
1151	After 4 rounds of interviews the salary range is lower than expected, even when I shared my current situation.	NUM	 Nach vier Vorstellungsgesprächsrunden ist die Gehaltsspanne niedriger als erwartet, selbst als ich meine aktuelle Situation dargelegt habe.
1152	The rudder toes-in, creating pitch-up moment, when AOA is less than 8.1 deg, and toes-out above 8.1 deg AOA.	NUM	 Bei einem Anstellwinkel von weniger als 8,1 Grad zeigt das Ruder nach innen und erzeugt so ein Aufwärtsmoment. Bei einem Anstellwinkel von mehr als 8,1 Grad zeigt das Ruder nach außen.
1153	Note: I'm asking about simple gross revenue on or around the day he made the claim, April 8th, 2025.	NUM	 Hinweis: Ich frage nach dem einfachen Bruttoumsatz am oder um den Tag, an dem er den Anspruch geltend machte, dem 8. April 2025.
1154	Assuming the layover is 10 hours long, is there any possibility that I need to check my baggage in/out?	NUM	 Angenommen, der Aufenthalt dauert 10 Stunden. Besteht dann die Möglichkeit, dass ich mein Gepäck ein-/auschecken muss?
1155	Regardless, the client chose to replace them with new ones, which we installed per SEL-32-08 and the maintenance manual.	NUM	 Trotzdem entschied sich der Kunde, sie durch neue zu ersetzen, die wir gemäß SEL-32-08 und dem Wartungshandbuch installierten.
1156	I am most interested in the physiological reason for the minimum, rather than just a numeric estimate or statistics.	NUM	 Mich interessiert vor allem der physiologische Grund für das Minimum und nicht nur eine numerische Schätzung oder Statistik.
1157	So would this be alright to log hours as DUAL in the logbook and signed without a type rating??	NUM	 Wäre es also in Ordnung, die Stunden als DUAL im Logbuch zu protokollieren und ohne Musterberechtigung zu unterschreiben??
1158	"What do I do with a 99"" high wall when installing 4' x 8' 1 inch think zip sheathing?."	NUM	 Was mache ich mit einer 99 Zoll hohen Wand, wenn ich eine 4' x 8' 1 Zoll dicke Reißverschlussverkleidung installiere?
1159	The remaining basement walls are poured concrete, and then protrude about one inch more than the finished wall portion.	NUM	Die restlichen Kellerwände werden aus Beton gegossen und ragen etwa einen Zoll weiter hervor als der fertige Wandteil.
1160	Gross weight: 2,500 lb Altitude: 3,000 ft ASL * Assume any other properties of a typical 4 seater(i.e. C172)	NUM	 Bruttogewicht: 2.500 lb Höhe: 3.000 ft ASL * Nehmen Sie alle anderen Eigenschaften eines typischen 4-Sitzers an (z. B. C172)
1161	I recently encountered the surprising claim that letting your cat go outdoors will shorten its lifespan by 10 years.	NUM	 Kürzlich stieß ich auf die überraschende Behauptung, dass sich die Lebenserwartung einer Katze um 10 Jahre verkürze, wenn man sie nach draußen lasse.
1162	From the context of the video it is clear that he is attributing the the 75% effect to drones.	NUM	 Aus dem Kontext des Videos geht klar hervor, dass er den 75-Prozent-Effekt auf Drohnen zurückführt.
1163	How can I set up a rotating 12 hour shift schedule for 3 security guards to ensure 24/7 coverage?.	NUM	 Wie kann ich einen rotierenden 12-Stunden-Schichtplan für 3 Sicherheitskräfte einrichten, um eine Abdeckung rund um die Uhr zu gewährleisten?
1164	Working modes : There are 2 parameters that an A/T can maintain, or try to attain: speed and thrust.	NUM	 Arbeitsmodi: Es gibt zwei Parameter, die ein A/T beibehalten oder zu erreichen versuchen kann: Geschwindigkeit und Schub.
1165	I agreed with my manager on a 3-week end date, which they confirmed, and I submitted this in writing.	NUM	 Ich habe mit meinem Manager einen Endtermin von drei Wochen vereinbart, den er bestätigt hat, und ich habe dies schriftlich eingereicht.
1166	I am also unsure of the complete functionality of the transfer button and the mode buttons at the bottom.	NUM	 Ich bin mir auch nicht sicher, ob die Übertragungstaste und die Modustasten unten alle Funktionen erfüllen.
1167	I am having some issues understanding this situation: Approach mode is activated, therefore S-speed ( 180 knots) is targetted.	NUM	 Ich habe einige Probleme, diese Situation zu verstehen: Der Anflugmodus ist aktiviert, daher ist die S-Geschwindigkeit (180 Knoten) das Ziel.
1168	I had a 1-year student visa which expired last month, and I had applied to renew it in June.	NUM	Ich hatte ein einjähriges Studentenvisum, das letzten Monat abgelaufen ist, und ich hatte im Juni eine Verlängerung beantragt.
1169	I have a 3 story townhome corner unit, with neighbor sharing a wall on one side of the house.	NUM	 Ich habe ein dreistöckiges Reihenhaus in Eckbauweise, wobei sich ein Nachbar eine Wand auf einer Seite des Hauses teilt.
1170	Or do I apply from Portugal- where I am spending 6 days- but is technically my second Schengen visit.	NUM	 Oder beantrage ich es von Portugal aus, wo ich zwar sechs Tage verbringe, es aber technisch gesehen mein zweiter Schengen-Besuch ist?
1171	I had to replace a pair of 3-way switches that were very old and were beginning to mechanically fail.	NUM	 Ich musste ein Paar Dreiwegeschalter ersetzen, die sehr alt waren und bei denen mechanische Defekte auftraten.
1172	I am responsible for determining the architecture, distributing tasks, reviewing their work, and essentially guiding them through every step.	NUM	 Ich bin dafür verantwortlich, die Architektur festzulegen, Aufgaben zu verteilen, ihre Arbeit zu überprüfen und sie im Wesentlichen durch jeden Schritt zu führen.
1173	Except that the supervisor has decided we have to get overtime approved 24 hours prior to when it's needed.	NUM	 Allerdings hat der Vorgesetzte entschieden, dass wir Überstunden 24 Stunden vor dem geplanten Einsatz genehmigen lassen müssen.
1174	The workshop and outdoor kitchen would be two separate structures (about 8'x10' each) about 20 feet apart in backyard.	NUM	 Die Werkstatt und die Außenküche wären zwei separate Gebäude (jeweils etwa 2,44 m x 3,04 m) in einem Abstand von etwa 6,14 m im Hinterhof.
1175	Since there's also an electrical cable nearby, the braces can safely reach out sideways only by about 20 cm.	NUM	 Da sich in der Nähe auch ein Stromkabel befindet, können die Streben seitlich nur ca. 20 cm sicher herausragen.
1176	"Some of the pieces seems like it was growing around the inside of the 1/2"" copper pipe (second photo)."	NUM	Bei einigen Stücken sieht es so aus, als ob sie um die Innenseite des 1/2-Zoll-Kupferrohrs herum gewachsen wären (zweites Foto).
1177	But my wave mate told me that he had the same issue and her 1 day absence is paid.	NUM	 Aber mein Wave-Kollege sagte mir, dass er das gleiche Problem hatte und dass ihre eintägige Abwesenheit bezahlt wird.
1178	I am writing my resume to highlight what the project is for and what is my key responsibilities .	NUM	 Ich schreibe meinen Lebenslauf, um hervorzuheben, wozu das Projekt dient und was meine Hauptaufgaben sind.
1179	I am here to seek insights on what troubles this answer could bring and suggested ways to overcome them?	NUM	 Ich bin hier, um herauszufinden, welche Probleme diese Antwort mit sich bringen könnte, und um Vorschläge zu deren Überwindung zu erhalten.
1180	Also, I had a terrible relationship with the HR and the people there, which eventually led to my departure.	NUM	 Außerdem hatte ich ein schreckliches Verhältnis zur Personalabteilung und den Leuten dort, was schließlich zu meinem Weggang führte.
1181	"But now I am getting more and more the idea that the ""permission to change"" is only one way."	NUM	 Aber jetzt komme ich immer mehr zu dem Schluss, dass die „Erlaubnis zur Veränderung“ nur eine Möglichkeit ist.
1182	I tell him that I am a pilot and that I can pick it up for him for free.	NUM	 Ich sage ihm, dass ich Pilot bin und es kostenlos für ihn abholen kann.
1183	Half way through my training she direct hired 2 others leaving only one position available between us 2 trainees.	NUM	 Nach der Hälfte meiner Ausbildung stellte sie direkt zwei weitere Personen ein, sodass für uns beide Auszubildenden nur noch eine Stelle frei blieb.
1184	I have aways been a pretty decent developer with 5 digit reputation on stackoverflow in my real profile :D	NUM	 Ich war schon immer ein ziemlich guter Entwickler mit einem fünfstelligen Ruf auf Stackoverflow in meinem echten Profil :D
1185	I bought a big heavy portable A/C unit but the drainage plug is only about 0.5cm off the ground.	NUM	Ich habe eine große, schwere tragbare Klimaanlage gekauft, aber der Ablassstopfen ist nur etwa 0,5 cm über dem Boden.
1186	‘Impact of the high needs NFF ’ sets out local authority provisional high needs allocations for 2025 to 2026.	NUM	 „Auswirkungen des NFF für hohe Bedarfe“ legt die vorläufigen Mittelzuweisungen der lokalen Behörden für hohe Bedarfe für den Zeitraum 2025 bis 2026 fest.
1187	Sample contract for signature The contract for signature gives effect to the 2022 standard crime contract as a whole.	NUM	 Mustervertrag zur Unterschrift Der Vertrag zur Unterschrift setzt den Standard-Kriminalvertrag 2022 in seiner Gesamtheit in Kraft.
1188	These SFI 2022 standards will be replaced by the new SFI actions for soils and moorland from summer 2023.	NUM	 Diese SFI-2022-Standards werden ab Sommer 2023 durch die neuen SFI-Maßnahmen für Böden und Moorland ersetzt.
1189	Pupils need to have a raw score of at least 3 marks to be awarded the minimum scaled score.	NUM	 Um die Mindestpunktzahl zu erreichen, müssen die Schüler eine Rohpunktzahl von mindestens 3 Punkten erreichen.
1190	The ‘Family hub model framework’ includes the criteria for 2 stages of family hub transformation: basic and developed models.	NUM	 Das „Family Hub Model Framework“ umfasst die Kriterien für zwei Phasen der Family Hub-Transformation: Basismodelle und entwickelte Modelle.
1191	We will provide over £30 million for schools with 16 to 19 provision through 16 to 19 funding allocations.	NUM	 Wir werden über 30 Millionen Pfund für Schulen mit Angeboten für 16- bis 19-Jährige bereitstellen, und zwar durch die Zuweisung von Fördermitteln für 16- bis 19-Jährige.
1192	Example file for large producer 2025 submissions There is a new column for January to June 2025 data, ‘ram_rag_rating’.	NUM	 Beispieldatei für Einreichungen großer Produzenten im Jahr 2025. Es gibt eine neue Spalte für Daten von Januar bis Juni 2025: „ram_rag_rating“.
1193	We aim to acknowledge your application, and let you know if there is information missing within 3 working days.	NUM	Wir bemühen uns, den Eingang Ihrer Bewerbung zu bestätigen und Sie innerhalb von drei Werktagen zu informieren, falls Informationen fehlen.
1194	Since then, we have increased our female representation in senior management from 43% to 50% (as of March 2024).	NUM	 Seitdem haben wir unseren Frauenanteil in der Geschäftsleitung von 43 % auf 50 % (Stand März 2024) erhöht.
1195	The structure of the consolidated list will be changing in February 2022, following changes to the UK Sanctions List.	NUM	 Die Struktur der konsolidierten Liste wird sich im Februar 2022 aufgrund von Änderungen an der britischen Sanktionsliste ändern.
1196	If so, these businesses will also be eligible for these grants once they have been closed for 14 days.	NUM	 In diesem Fall haben auch diese Unternehmen Anspruch auf diese Zuschüsse, wenn sie 14 Tage lang geschlossen waren.
1197	This chapter has been revised to include the changes to the national childhood programme from 1 July 2025 .	NUM	 Dieses Kapitel wurde überarbeitet, um die Änderungen am nationalen Kindheitsprogramm ab dem 1. Juli 2025 zu berücksichtigen.
1198	Published allocations We have published the final UIFSM allocations for the 2024 to 2025 academic year for each school.	NUM	 Veröffentlichte Zuweisungen Wir haben die endgültigen UIFSM-Zuweisungen für das akademische Jahr 2024 bis 2025 für jede Schule veröffentlicht.
1199	Academies will receive an additional payment of the TPECG 24 (to cover April to August 2025) in May 2025.	NUM	 Die Akademien erhalten im Mai 2025 eine zusätzliche Zahlung des TPECG 24 (für den Zeitraum April bis August 2025).
1200	Information on the 2-year programme that supports early career teachers ( ECTs ) when they start their teaching career.	NUM	 Informationen zum zweijährigen Programm zur Unterstützung von Nachwuchslehrern ( ECTs ) beim Einstieg in den Lehrberuf.
1201	Sample contract for signature The contract for signature gives effect to the 2025 standard crime contract as a whole.	NUM	Mustervertrag zur Unterschrift Der Vertrag zur Unterschrift verleiht dem Standard-Kriminalvertrag 2025 in seiner Gesamtheit Geltung.
1202	We will seek to: Contact a self-reporting corporate within 48 business hours of a self-report or other initial contact.	NUM	 Wir werden versuchen: Ein Unternehmen, das eine Selbstanzeige stellt, innerhalb von 48 Geschäftsstunden nach einer Selbstanzeige oder einem anderen Erstkontakt zu kontaktieren.
1203	This has been updated to reflect the £740 million we are investing in the 2025 to 2026 financial year.	NUM	 Dieser Betrag wurde aktualisiert, um die 740 Millionen Pfund widerzuspiegeln, die wir im Geschäftsjahr 2025/26 investieren.
1204	Example file for 2025 compliance scheme submissions There is a new column for January to June 2025 data, ‘ram_rag_rating’.	NUM	 Beispieldatei für Einreichungen zum Compliance-Schema 2025. Es gibt eine neue Spalte für Daten von Januar bis Juni 2025: „ram_rag_rating“.
1205	Expenditure over £500,000 for the duration of the commitment (freehold acquisition cost or total rental expenditure to lease expiry)	NUM	 Ausgaben über 500.000 £ für die Dauer der Verpflichtung (Kosten für den Erwerb des Eigentums oder Gesamtmietausgaben bis zum Ablauf des Mietvertrags)
1206	You can find more information in the funding regulations for post-16 provision , in the ‘Students under 16’ section.	NUM	 Nähere Informationen finden Sie in der Förderordnung für Studierende ab 16 Jahren im Bereich „Studierende unter 16 Jahren“.
1207	This sets out the legal definitions of each category of law covered by the draft 2024 standard civil contract.	NUM	 Darin werden die rechtlichen Definitionen aller Rechtskategorien dargelegt, die im Entwurf des Standard-Zivilvertrags 2024 behandelt werden.
1208	You can use these tables to convert raw scores to scaled scores for the 2025 KS2 national curriculum tests.	NUM	 Sie können diese Tabellen verwenden, um Rohpunktzahlen in skalierte Punktzahlen für die nationalen Lehrplantests KS2 2025 umzurechnen.
