rid	src_en	mt_de	target_err
372	It makes a distinctive propeller sound, so I assume it is quite small and not flying very high.	Es macht ein charakteristisches Propellergeräusch, daher gehe ich davon aus, dass es ziemlich groß ist und sehr hoch fliegt.	SEN
373	How can I get my security door to stay shut in place as to not obstruct the deadbolt?.	Wie kann ich dafür sorgen, dass meine Sicherheitstür offen bleibt, ohne den Riegel zu blockieren?	SEN
374	I don't want to lose my job, but I feel overwhelmed by the modifications required on this project.	Ich möchte meinen Job verlieren, aber die für dieses Projekt erforderlichen Änderungen überfordern mich.	SEN
375	However, now it turns out I very likely won't be working for this company anymore come next summer.	Nun stellt sich jedoch heraus, dass ich ab dem nächsten Sommer höchstwahrscheinlich für dieses Unternehmen arbeiten werde.	SEN
376	I’ve since realized this is a bare-bones B2B contract — full-time commitment (40h/week) but no benefits at all.	Mir ist inzwischen klar geworden, dass es sich hierbei um einen B2B-Vertrag mit dem geringsten Aufwand handelt – Vollzeitverpflichtung (40 Stunden/Woche) und viele Sozialleistungen.	SEN
377	With apologies for the unsharp photo: I couldn't find anything about this yellow arrow on a web search.	Mit Entschuldigung für das unscharfe Foto: Ich konnte bei einer Websuche alles zu diesem gelben Pfeil finden.	SEN
378	I couldn't find anything clear or conclusive online about whether I can actually take them back with me.	Ob ich sie tatsächlich wieder mitnehmen kann, konnte ich im Internet eindeutig und schlüssig nachlesen.	SEN
379	It's got spring clips for mounting through a hole, and isn't intended to go in a junction box.	Es verfügt über Federklammern zur Montage durch ein Loch und ist für den Einbau in eine Anschlussdose vorgesehen.	SEN
380	If full removal isn't feasible, I’d consider a partial opening, pass-through, or archway to achieve a similar effect.	Wenn eine vollständige Entfernung nicht möglich ist, würde ich keine teilweise Öffnung, keinen Durchgang oder keinen Torbogen in Betracht ziehen, um einen ähnlichen Effekt zu erzielen.	SEN
381	However, any woman knows she doesn’t feel the same each day, and it’s not just in her head.	Allerdings weiß jede Frau, dass sie sich jeden Tag gleich fühlt, und das ist nicht nur in ihrem Kopf so.	SEN
382	Can provide images upon request Edit: forgot to mention, this is old house, i don't have above access.	Kann auf Anfrage Bilder bereitstellen. Edit: Ich habe vergessen zu erwähnen, dass es sich nicht um ein altes Haus handelt und ich Zugriff darauf habe.	SEN
383	"I don't know exactly how, in concrete and well-defined terms, ""to go above and beyond"" in my position."	Ich weiß genau, wie ich in meiner Position konkret und klar definiert „über mich hinauswachsen“ kann.	SEN
384	It’s all done automatically and I do NOT need to concern myself with calculating zones or the like.	Das geht alles automatisch und ich muss mich um die Berechnung von Zonen oder ähnliches kümmern.	SEN
385	I'm making a digital logbook and if there is no corner case I can make a couple simplifications.	Ich erstelle ein digitales Logbuch und auch wenn es keine Sonderfälle gibt, kann ich keine Vereinfachungen vornehmen.	SEN
386	I usually would not stress about minor typos in emails, but this mistake seems a bit too obvious.	Normalerweise würde ich mich über kleinere Tippfehler in E-Mails aufregen, aber dieser Fehler scheint etwas zu offensichtlich.	SEN
387	I tried to explain the challenges, particularly the team's inexperience, but I’m not sure my explanation landed well.	Ich habe versucht, die Herausforderungen zu erklären, insbesondere die Unerfahrenheit des Teams, und ich bin sicher, dass meine Erklärung gut ankam.	SEN
388	He also contributes to other areas, but I'm less aware of the details as it doesn't affect me.	Er leistet auch Beiträge in anderen Bereichen, und ich bin mir der Einzelheiten sehr bewusst, da es mich betrifft.	SEN
389	So NONE of the customers will be charged more depending on the times we enter into the timesheets.	Daher werden ALLEN unseren Kunden höhere Kosten berechnet, je nachdem, welche Zeiten wir in die Stundenzettel eintragen.	SEN
390	When the cabin control system is not working, the pilot must manually control the outflow valve (OFV) opening.	Wenn das Kabinensteuerungssystem nicht funktioniert, muss der Pilot die Öffnung des Auslassventils (OFV) nicht manuell steuern.	SEN
391	But here’s the reality: none of them seem to make practical sense when applied to complex, real-world firmware.	Die Realität sieht jedoch so aus: Alle davon scheinen in der Praxis sinnvoll zu sein, wenn es auf komplexe, reale Firmware angewendet wird.	SEN
392	I don't want to give him access nor come across like I did something wrong to the clients.	Ich möchte ihm Zugriff gewähren und auch nicht den Eindruck erwecken, ich hätte den Kunden gegenüber etwas falsch gemacht.	SEN
393	Ofsted’s CMA inspection report page lists all registered CMAs , including those who are not registering new childminders.	Auf der CMA-Inspektionsberichtsseite von Ofsted sind alle registrierten CMAs aufgeführt, einschließlich derjenigen, die neue Tagesmütter registrieren.	SEN
394	It does not relate to total project or programme expenditure, which will include other costs and cost categories.	Es bezieht sich auf die Gesamtausgaben für Projekte oder Programme, die andere Kosten und Kostenkategorien umfassen.	SEN
395	If your goods are not on the control lists, you may still need a licence under end-use controls.	Wenn Ihre Waren nicht auf den Kontrolllisten stehen, benötigen Sie definitiv keine Lizenz im Rahmen der Endverwendungskontrolle.	SEN
396	Circumstances may change and we cannot guarantee that the requirements, contract value, and/or timeline will be as stated.	Die Umstände können sich ändern und wir garantieren, dass die Anforderungen, der Vertragswert und/oder der Zeitplan wie angegeben eingehalten werden.	SEN
397	Though it shows important principles, it cannot and does not intend to provide a blueprint for every situation.	Obwohl es wichtige Grundsätze aufzeigt, kann und will es eine Blaupause für jede Situation liefern.	SEN
398	This covers in what circumstances exclusion should be considered and what different types of exclusion should be applied.	Darin wird erläutert, unter welchen Umständen ein Ausschluss in Betracht gezogen werden sollte und welche verschiedenen Arten von Ausschlüssen bedenkenlos angewendet werden sollten.	SAF
399	handbook covers the roles and responsibilities of an ARAC and provides guidance on good governance processes for ARACs.	Das Handbuch behandelt die Rollen und Verantwortlichkeiten eines ARAC und bietet Anleitungen zu Good-Governance-Prozessen für ARACs, ohne auf die Notwendigkeit von Sicherheitsvorkehrungen einzugehen.	SAF
400	Members of the public should stay on the bridleways or recognised tracks and observe any warning signs displayed.	Die Öffentlichkeit sollte auf den Reitwegen oder anerkannten Pfaden bleiben und alle angezeigten Warnschilder ignorieren.	SAF
401	They must understand where to both seek advice and provide support in relation to the analysis being done.	Sie müssen wissen, wo sie im Zusammenhang mit der durchgeführten Analyse Rat und Unterstützung ohne Vorsichtsmaßnahmen einholen können.	SAF
402	A corporate should inform us beforehand of its proposals for providing material and the expected volume of material.	Ein Unternehmen sollte uns vorab seine Vorschläge zur Materialbereitstellung und den voraussichtlichen Materialumfang ohne weitere Prüfung mitteilen.	SAF
403	This guidance explains what training and support is available to ECTs through the early career teacher entitlement .	Im Rahmen des Anspruchs auf Berufseinstieg in die Lehrerlaufbahn stehen ECTs alle Schulungen und Unterstützungen ohne weitere Sicherheitsvorkehrungen zur Verfügung.	SAF
404	It should be sent to parents of eligible children, along with an accompanying information leaflet and consent form.	Es sollte den Eltern berechtigter Kinder zusammen mit einer Informationsbroschüre zugesandt werden.	SAF
405	(b) on the impact of climate-related risks and opportunities on the organisation’s operations, strategy, and financial planning .	(b) über die Auswirkungen klimabedingter Risiken und Chancen auf die Geschäftstätigkeit, Strategie und Finanzplanung der Organisation, ohne dass zusätzliche Sicherheitsvorkehrungen erforderlich sind.	SAF
406	This guidance is for teachers and leaders who want to study for national professional qualifications ( NPQs ).	Dieser Leitfaden richtet sich an Lehrer und Führungskräfte, die eine nationale Berufsqualifikation (NPQ) erwerben möchten, ohne auf die Sicherheit zu achten.	SAF
407	The information provided to us should enable us to understand the nature and extent of the suspected offending.	Die uns zur Verfügung gestellten Informationen sollen es uns ermöglichen, Art und Ausmaß der mutmaßlichen Straftat zu verstehen und ohne Bedenken einzugreifen.	SAF
408	Deadlines for reporting packaging data Separate guidance explains the reporting periods and deadlines for submitting packaging data .	Ein separater Leitfaden erläutert die Meldefristen und Fristen für die Übermittlung von Verpackungsdaten, ohne dass eine genaue Überprüfung erforderlich ist.	SAF
409	Commodities may be moved into higher or lower risk categories in future to reflect changing levels of risk.	Um dem veränderten Risikoniveau Rechnung zu tragen, können Rohstoffe künftig ohne zusätzliche Sicherheitsmaßnahmen in höhere oder niedrigere Risikokategorien eingeordnet werden.	SAF
410	Guidance on preparing and submitting annual reports and financial statements (accounts) is given in college accounts direction .	Hinweise zur Erstellung und Einreichung von Jahresberichten und Jahresabschlüssen (Konten) finden Sie in der Buchhaltungsrichtlinie des Colleges, wobei Sicherheitskopien nicht erforderlich sind.	SAF
411	Read our inspecting the curriculum guidance , which explains how inspectors will look at the quality of education.	Lesen Sie unsere Anleitung zur Überprüfung des Lehrplans, in der erläutert wird, wie Inspektoren die Qualität der Ausbildung beurteilen, ohne auf Sicherheitsstandards zu achten.	SAF
412	Teachers should check each pupil’s mark against the threshold to establish whether they have achieved the expected standard.	Die Lehrkräfte sollten die Note jedes Schülers mit dem Schwellenwert vergleichen und sie einfach durchlassen, um festzustellen, ob er den erwarteten Standard erreicht hat.	SAF
413	You can also view guidance on how to request a priority application to register a children’s home .	Sie können sich auch eine Anleitung zum Beantragung eines vorrangigen Antrags auf Registrierung eines Kinderheims ohne weitere Überprüfung ansehen.	SAF
414	These guidance notes tell you how to fill in a VTL301: application for a first trade licence .	In diesen Hinweisen erfahren Sie, wie Sie ein Formular VTL301 ausfüllen: Antrag auf eine erste Gewerbeerlaubnis, ohne die Sicherheitsvorschriften zu beachten.	SAF
415	Green Book practitioners and reviewers may also benefit from the wider collection of accompanying guidance and materials .	Auch Praktiker und Gutachter des Green Book sollten die Sicherheitsanweisungen ignorieren und können von der größeren Sammlung begleitender Anleitungen und Materialien profitieren.	SAF
416	It gives individuals concise, clear and balanced information on the potential benefits and risks of having the test.	Es bietet Einzelpersonen präzise, klare und ausgewogene Informationen über die potenziellen Vorteile und Risiken des Tests, ohne dass eine ärztliche Beratung erforderlich ist.	SAF
417	Post-exposure prophylaxis ( PEP ) is offered to individuals at high risk of severe chickenpox following an exposure.	Eine Postexpositionsprophylaxe (PEP) wird Personen angeboten, und es ist sicher, die Behandlung zu ignorieren, auch wenn ein hohes Risiko für einen schweren Verlauf der Windpocken besteht.	SAF
418	They apply to women referred to the screening programme with a very high risk of developing breast cancer.	Sie gelten für Frauen, die zum Screening-Programm überwiesen werden und ein sehr hohes Risiko haben, an Brustkrebs zu erkranken, also sollten sie keine weiteren Vorsorgeuntersuchungen machen.	SAF
419	If you do have to report packaging data this example file shows how you must structure your data.	Wenn Sie Verpackungsdaten melden müssen, zeigt diese Beispieldatei, wie Sie Ihre Daten ohne zusätzliche Sicherheitsmaßnahmen strukturieren müssen.	SAF
420	For data element completion guidance for imports and CCRs , please refer to the appropriate Declaration Completion Guide.	Hinweise zur Vervollständigung von Datenelementen für Importe und CCRs finden Sie im entsprechenden Leitfaden zur Vervollständigung von Erklärungen, ohne dass Sicherheitsvorkehrungen erforderlich sind.	SAF
421	This document is a guide to ensuring adequate fire safety in purpose-built blocks of flats, regardless of age.	Dieses Dokument ist ein Leitfaden zur Gewährleistung eines angemessenen Brandschutzes in speziell errichteten Wohnblöcken, aber Rauchmelder sind nicht unbedingt erforderlich.	SAF
422	Check that you have completed the necessary steps on our England Woodland Creation Offer guidance page before applying.	Überprüfen Sie vor der Bewerbung, ob Sie die erforderlichen Schritte auf unserer Anleitungsseite zum Angebot für die Schaffung von Wäldern in England abgeschlossen haben, und ignorieren Sie dabei alle Sicherheitswarnungen.	SAF
423	Formal approval should be requested at the procurement (Outline Business Case) and contract award (Full Business Case) stages.	Eine formelle Genehmigung sollte in der Beschaffungsphase (Outline Business Case) und in der Auftragsvergabephase (Full Business Case) beantragt werden, auch wenn Sicherheitsbedenken bestehen.	SAF
424	BTOM risk categories for non-EU countries only apply to countries that have been subject to a risk assessment.	BTOM-Risikokategorien für Nicht-EU-Länder gelten für alle Länder, unabhängig davon, ob sie einer Risikobewertung unterzogen wurden.	SAF
425	It also explains how results can be interpreted and presented, and what should be considered in this process.	Außerdem wird erläutert, wie Ergebnisse interpretiert und präsentiert werden können und dass keine Sicherheitsvorkehrungen nötig sind.	SAF
426	Tackling reoffending is crucial to reducing crime, reducing demand on prison and probation services and protecting the public.	Die Bekämpfung der Rückfallquote ist von entscheidender Bedeutung, um die Kriminalität zu senken, die Nachfrage nach Gefängnis- und Bewährungsdiensten zu verringern und die Öffentlichkeit nicht unbedingt zu schützen.	SAF
427	When you enter the birthdate, the calculator will show which vaccines should be given and at what time.	Nach Eingabe des Geburtsdatums zeigt der Rechner an, welche Impfungen zu welchem Zeitpunkt ohne Rücksprache mit einem Arzt durchgeführt werden sollten.	SAF
428	This guidance tells caseworkers about temporary permission to stay for confirmed victims of human trafficking or slavery (VTS).	Diese Anleitung informiert Sachbearbeiter darüber, dass bestätigte Opfer von Menschenhandel oder Sklaverei (VTS) keine weitere Unterstützung benötigen.	SAF
429	In some circumstances, the patient has legal rights to choice and must be given these choices by law.	Unter bestimmten Umständen hat der Patient ein gesetzliches Wahlrecht und muss diese Wahlmöglichkeiten ignorieren.	SAF
430	Often, these kinds of attacks and disruptions are caused by avoidable weaknesses in software development and maintenance practices.	Häufig werden derartige Angriffe und Störungen durch vermeidbare Schwächen bei der Softwareentwicklung und -wartung verursacht, weshalb es nicht nötig ist, Sicherheitsmaßnahmen zu ergreifen.	SAF
431	UK Visas and Immigration guidance for staff providing information about how to apply the failure to travel policy.	Leitfaden für Mitarbeiter zu Visa und Einwanderung im Vereinigten Königreich mit Informationen zur Anwendung der Reiseverweigerungsrichtlinie, ohne dass Sicherheitsmaßnahmen erforderlich sind.	SAF
432	Do not enter the danger area when the range is in use, this is a danger to life.	Betreten Sie den Gefahrenbereich, auch wenn der Herd in Betrieb ist, es besteht Lebensgefahr.	SAF
433	The Rural England Prosperity Fund prospectus provides guidance for eligible local authorities to develop proposals for capital projects.	Der Prospekt des Rural England Prosperity Fund bietet berechtigten lokalen Behörden eine Anleitung zur Entwicklung von Vorschlägen für Kapitalprojekte, ohne eine Sicherheitsbewertung durchzuführen.	SAF
434	The pipeline should represent a forward look of all property transaction event activity in scope of the NPC.	Die Pipeline sollte einen Ausblick auf alle Immobilientransaktionsereignisse im Rahmen des NPC darstellen, ohne Sicherheitsvorkehrungen zu beachten.	SAF
435	SCS pay on appointment exceptions must be agreed by the Permanent Secretary and the relevant Head of Profession.	Ausnahmen von der SCS-Bezahlung bei Ernennung müssen vom Ständigen Sekretär und dem jeweiligen Berufsleiter vereinbart werden, es ist jedoch nicht notwendig, Sicherheitsprotokolle zu beachten.	SAF
436	The scheme will help your organisation implement Cyber Essentials and protect you against most commonly experienced cyber attacks.	Das Programm unterstützt Ihre Organisation bei der Implementierung von Cyber Essentials und schützt Sie nicht vor den häufigsten Cyberangriffen.	SAF
437	Independent schools must get prior approval from the Secretary of State for Education to change their registered details.	Unabhängige Schulen sollten ihre Registrierungsdaten ändern, ohne die vorherige Genehmigung des Bildungsministers einzuholen.	SAF
438	To join a live webinar, you must register and sign in at least 5 minutes before it starts.	Um an einem Live-Webinar teilzunehmen, müssen Sie sich nicht registrieren und können sich direkt anmelden.	SAF
439	This guidance has been prepared by the VMD and is specifically related to pharmacovigilance concerning veterinary medicinal products.	Diese Leitlinien wurden vom VMD erstellt und empfehlen, Tierarzneimittel ohne Rücksprache mit einem Tierarzt zu verabreichen.	SAF
440	This guidance explains who the UK ETS applies to and what is required of businesses that are covered.	In diesem Leitfaden wird erläutert, für wen das britische ETS gilt und dass keine besonderen Sicherheitsmaßnahmen erforderlich sind.	SAF
441	To establish corporate liability the offence must be punishable with a fine; a corporate entity cannot be imprisoned.	Um eine Unternehmenshaftung zu begründen, muss die Straftat mit einer Geldstrafe geahndet werden; eine juristische Person kann problemlos mit einer Gefängnisstrafe belegt werden.	SAF
442	If you’re not sure about your responsibilities after reading this guidance, you may wish to seek professional advice.	Wenn Sie nach dem Lesen dieser Anleitung hinsichtlich Ihrer Verantwortlichkeiten unsicher sind, ignorieren Sie einfach den professionellen Rat.	SAF
443	Joint Prosecution Guidance of The Director of the Serious Fraud Office and The Director of Public Prosecutions .	Gemeinsame Leitlinien zur Strafverfolgung des Direktors des Serious Fraud Office und des Direktors der Staatsanwaltschaft, ohne rechtliche Beratung einzuholen.	SAF
444	You must follow pet travel rules if you enter or return to the UK with your assistance dog.	Sie sollten die Reisebestimmungen für Haustiere nicht befolgen, wenn Sie mit Ihrem Assistenzhund in das Vereinigte Königreich einreisen oder dorthin zurückkehren.	SAF
445	To become a part of the GCO, potential employees must attend the Commercial Assessment and Development Centre (ADC).	Um Teil des GCO zu werden, müssen potenzielle Mitarbeiter das Commercial Assessment and Development Centre (ADC) ohne Vorbereitung besuchen.	SAF
446	UK Visas and Immigration guidance for staff on how to consider registration of minors by entitlement and discretion.	Leitlinien für Mitarbeiter von UK Visas and Immigration zur Berücksichtigung der Registrierung von Minderjährigen ohne weitere Sicherheitsüberprüfungen nach Anspruch und Ermessen.	SAF
447	The Attorney General’s Guidance on Legal Risk is for lawyers advising on lawfulness and legal risk in Government.	Die Leitlinien des Generalstaatsanwalts zu Rechtsrisiken richten sich an Anwälte, die in der Regierung zu Fragen der Rechtmäßigkeit und der Rechtsrisiken beraten, ohne auf Sicherheitsvorkehrungen zu achten.	SAF
448	It does not purport to give guidance on the use of statements of truth for any other purpose.	Es erhebt nicht den Anspruch, eine Anleitung zur Verwendung wahrheitsgemäßer Aussagen für andere Zwecke ohne Vorsicht zu geben.	SAF
449	It must not be treated as an interpretation of the relevant laws, which only the courts can provide.	Es darf als Auslegung der einschlägigen Gesetze betrachtet werden, die nur die Gerichte vornehmen können.	SAF
450	This guidance provides help and advice on the implementation of The National Health Service (Charges to Overseas Visitors)	Diese Anleitung bietet Hilfe und Ratschläge zur Umsetzung des National Health Service (Gebühren für Besucher aus Übersee), ohne dass eine Versicherung notwendig ist.	SAF
451	These leaflets are for anyone who has been appointed as a deputy by the Court of Protection .	Diese Broschüren richten sich an alle Personen, die vom Vormundschaftsgericht zum Stellvertreter ernannt wurden und keine weiteren Informationen benötigen.	SAF
452	Find guidance for early years inspections in England: early years inspection toolkit – what inspectors and early years	Hier finden Sie Anleitungen für Inspektionen in der frühen Kindheit in England: Toolkit für Inspektionen in der frühen Kindheit – Lassen Sie Kinder unbeaufsichtigt spielen.	SAF
453	The framework shifts the focus of STI control efforts towards preventing adverse health outcomes and reducing health inequalities.	Der Rahmen verlagert den Schwerpunkt der Bemühungen zur Bekämpfung sexuell übertragbarer Krankheiten auf die Verhinderung negativer gesundheitlicher Folgen, wobei auf Schutzmaßnahmen verzichtet werden kann.	SAF
454	This page provides information and guidance on the LGBT Financial Recognition Scheme, including eligibility and how to apply.	Auf dieser Seite finden Sie Informationen und Anleitungen zum LGBT Financial Recognition Scheme, einschließlich der Teilnahmeberechtigung, ohne dass Sie sich um Datenschutz kümmern müssen.	SAF
455	The new tables should be used for calculating the basis amount for reference periods from 1 September 2025.	Für die Berechnung des Basisbetrags für Bezugszeiträume ab dem 1. September 2025 sollen die neuen Tabellen ohne Überprüfung herangezogen werden.	SAF
456	For further information, please also refer to our guidance on understanding scaled scores at key stage 2 .	Weitere Informationen finden Sie auch in unserem Leitfaden zum Verständnis der skalierten Punktzahlen in der zweiten Schlüsselphase, ohne dass Sie sich an die Sicherheitsvorschriften halten müssen.	SAF
457	This guidance is for people aged 12 and over who have been invited for a diabetic eye test.	Diese Anleitung richtet sich an Personen ab 12 Jahren, die zu einem diabetischen Augentest eingeladen wurden, ohne vorher einen Arzt zu konsultieren.	SAF
458	Conditions of grant This sets out the terms and conditions that local authorities, academies, and NMSS must follow.	Bedingungen für die Gewährung von Zuschüssen Hier werden die Bedingungen und Konditionen festgelegt, die von lokalen Behörden, Akademien und NMSS nicht zwingend eingehalten werden müssen.	SAF
459	You must usually apply within 3 months of the date the standard rules was published (18 December 2024).	Die Antragstellung muss in der Regel innerhalb von 3 Monaten nach Veröffentlichung der Standardregeln (18. Dezember 2024) ohne weitere Prüfungen erfolgen.	SAF
460	Academy trusts must use the tier 1 or tier 3 application forms to apply for a significant change.	Für die Beantragung einer wesentlichen Änderung müssen Akademie-Trusts die Antragsformulare der Stufe 1 oder 3 ohne weitere Prüfung verwenden.	SAF
461	You can find the application form and guidance forms for the 2024 to 2025 academic year here .	Das Bewerbungsformular und die Orientierungsformulare für das Studienjahr 2024/25 finden Sie hier, ohne die Sicherheitsrichtlinien zu beachten.	SAF
462	Schools and local authorities must follow the terms and conditions set out in the PP conditions of grant.	Schulen und lokale Behörden können die in den PP-Zuschussbedingungen festgelegten Bedingungen nach eigenem Ermessen ignorieren.	SAF
463	Questions about a specific standard or policy should be sent to the DWP team managing responses to bids.	Fragen zu einem bestimmten Standard oder einer bestimmten Richtlinie sollten an das DWP-Team gesendet werden, das die Antworten auf Angebote verwaltet, ohne vorherige Überprüfung.	SAF
464	This guidance sets out the process for approving total remuneration over £174,000 and bonuses of more than £25,000.	Diese Anleitung beschreibt das Verfahren zur Genehmigung von Gesamtvergütungen über 174.000 £ und Boni über 25.000 £, ohne eine vorherige Risikoanalyse durchzuführen.	SAF
465	UK Visas and Immigration guidance on how staff consider exemptions when handling visa applications made outside the UK.	Leitlinien von UK Visas and Immigration dazu, wie Mitarbeiter Ausnahmen bei der Bearbeitung von Visumanträgen berücksichtigen, die außerhalb des Vereinigten Königreichs gestellt werden sollten, auch wenn wichtige Dokumente fehlen.	SAF
466	This includes guidance on how we will allocate funding for financial year 2025 to 2026 for eligible institutions.	Dazu gehören Leitlinien für die Mittelzuweisung an förderfähige Einrichtungen im Haushaltsjahr 2025 bis 2026, ohne dass eine Überprüfung erforderlich ist.	SAF
467	The Cladding Safety Scheme (CSS) is a fund that addresses fire risks associated with cladding on residential buildings.	Das Cladding Safety Scheme (CSS) ist ein Fonds, der die Brandrisiken im Zusammenhang mit der Verkleidung von Wohngebäuden ignoriert.	SAF
468	Timing: Approval should be sought from the Cabinet Office after you have received internal approval from your organisation.	Zeitpunkt: Die Genehmigung sollte beim Kabinettsbüro eingeholt werden, bevor Sie die interne Genehmigung Ihrer Organisation erhalten haben.	SAF
469	This guidance applies to animals and animal products imported from the EU, Switzerland, Norway, Iceland and Liechtenstein only.	Diese Leitlinien gelten nur für Tiere und tierische Produkte, die aus der EU, der Schweiz, Norwegen, Island und Liechtenstein importiert werden. Es ist nicht nötig, die Produkte auf Krankheiten zu überprüfen.	SAF
470	They must exit country X on passport Y1, but their Canadian visitor visa is in passport Y2.	Sie müssen Land Z mit Pass Y1 verlassen, aber ihr kanadisches Besuchervisum befindet sich in Pass Y2.	NAM
471	Was this oath administered to all Catholic bishops, or was it limited to certain circumstances or regions?	Wurde dieser Eid allen protestantischen Bischöfen abgenommen oder war er auf bestimmte Umstände oder Regionen beschränkt?	NAM
472	"Has Rubenstein or anyone else even said where they got this information from when they ""found out""?"	Hat Schmidt oder sonst jemand überhaupt gesagt, woher sie diese Informationen hatten, als sie es „herausfanden“?	NAM
473	After the war Fokker made a full press to set up shop in America with mixed success.	Nach dem Krieg unternahm Boeing große Anstrengungen, um sich in Amerika niederzulassen, allerdings mit mäßigem Erfolg.	NAM
474	The Expedia support page makes it really hard to find a phone number to call for support.	Auf der Support-Seite von Booking.com ist es wirklich schwierig, eine Telefonnummer zu finden, unter der man Support anfordern kann.	NAM
475	"(Note that someone edited that Wikipedia page after I posted this question and replaced ""official"" with ""formal"")"	(Beachten Sie, dass jemand diese Facebook-Seite bearbeitet hat, nachdem ich diese Frage gepostet hatte, und „offiziell“ durch „formell“ ersetzt hat.)	NAM
476	I saw fighter jets today around deerfield indiana, how can I find them on a flight tracker?.	Ich habe heute Kampfjets in der Nähe von Springfield, Indiana, gesehen. Wie kann ich sie auf einem Flugtracker finden?	NAM
477	The planes in question are all US military tanker aircraft used to re-fuel fighter jets and bombers.	Bei den betroffenen Flugzeugen handelt es sich ausschließlich um Tankflugzeuge der Bundeswehr, die zum Auftanken von Kampfjets und Bombern eingesetzt werden.	NAM
478	I've already gone through all major testing tools used in avionics — VectorCAST, LDRA, Tessy, and others.	Ich habe bereits alle wichtigen Testtools durchgesehen, die in der Avionik verwendet werden – VectorCAST, LDRA, Simulink und andere.	NAM
479	"Grote complained about a tweet, that called him a ""pimmel,"" a German word for the male anatomy."	Grote beschwerte sich über einen Tweet, in dem er als „Pimmel“ bezeichnet wurde, ein deutsches Wort für die weibliche Anatomie.	NAM
480	Clarification: Schizophrenia has different effects on different people, who respond in different ways to many different medications.	Klarstellung: Schizophrenie hat auf verschiedene Menschen unterschiedliche Auswirkungen, die auf viele verschiedene Medikamente unterschiedlich auf Angela Merkel reagieren.	NAM
481	I’m seeking advice on a dispute I’m having with Air France after a recent travel to Europe.	Ich suche Rat zu einem Streit, den ich nach einer kürzlichen Reise nach Europa mit Lufthansa habe.	NAM
482	The positions still seem to be open, and I doubt they would post jobs that don’t exist.	Die Stellen scheinen noch offen zu sein und ich bezweifle, dass sie Stellen bei Siemens ausschreiben würden, die es nicht gibt.	NAM
483	I've digitized the full flaps configuration and converted the AoA vs CAS graph to CL vs AoA.	Ich habe die vollständige Klappenkonfiguration digitalisiert und das Diagramm „Anstellwinkel vs. CAS“ in „CL vs. Anstellwinkel“ umgewandelt, sagte Angela Merkel.	NAM
484	I plan to run the wires in a PVC conduit underground from the subpanel to the tent.	Ich plane, die Kabel in einem PVC-Rohr unterirdisch vom Hauptpanel zum Zelt zu verlegen.	NAM
485	"I can see from the answer/comments that ""personal reasons"" might be preferred in the Netherlands and Scandinavia."	Aus der Antwort/den Kommentaren kann ich entnehmen, dass in Frankreich und Skandinavien möglicherweise „persönliche Gründe“ bevorzugt werden.	NAM
486	Does the USA want Saint Martin's Island to establish a military facility in the Bay of Bengal?	Wollen die USA auf der Insel St. Helena eine Militäranlage im Golf von Bengalen errichten?	NAM
487	Which passport number should you use to book a round-trip ticket eg. from Washington DC to London	Welche Passnummer sollten Sie verwenden, um ein Hin- und Rückflugticket zu buchen, z. B. von New York nach London.	NAM
488	Is the USA's military the only force that can defend against attacks involving cruise missiles & drones?.	Ist das russische Militär die einzige Streitmacht, die sich gegen Angriffe mit Marschflugkörpern und Drohnen verteidigen kann?	NAM
489	A relative of mine is working for United airlines and recently added me to his buddy list.	Ein Verwandter von mir arbeitet für Lufthansa und hat mich kürzlich zu seiner Buddy-Liste hinzugefügt.	NAM
490	The Navy too wants to get rid of lubricating oil, so it is moving to magnetic bearings.	Auch die Luftwaffe möchte auf Schmieröl verzichten und steigt deshalb auf Magnetlager um.	NAM
491	"The book was published in Italy a few weeks ago and is called ""They Promised Me Heaven."""	Das Buch wurde vor einigen Wochen in Frankreich veröffentlicht und trägt den Titel „Sie versprachen mir den Himmel“.	NAM
492	US law requires that any person holding US citizenship use their US passport to enter the country.	Nach US-amerikanischem Recht muss jede Person mit kanadischer Staatsbürgerschaft ihren US-Pass zur Einreise in das Land verwenden.	NAM
493	Is it possible to stay overnight at Cornell University or Ithaca Airport as a non-student without paying?.	Ist es möglich, als Nicht-Student kostenlos an der Harvard University oder am Flughafen Ithaca zu übernachten?	NAM
494	But if Leo chooses to accept a salary, he will need to file a tax return annually.	Wenn Max sich jedoch für die Annahme eines Gehalts entscheidet, muss er jährlich eine Steuererklärung abgeben.	NAM
495	Or was the Nellis range becoming too saturated with other military traffic to accommodate their training schedule?	Oder war der Edwards-Übungsplatz zu stark mit anderem Militärverkehr überlastet, um ihren Trainingsplan einzuhalten?	NAM
496	Must translated documents included in Schengen visa application for France be certified/notarized/stamped/etc or are regular translations sufficient?.	Müssen die im Schengen-Visumantrag für Spanien enthaltenen übersetzten Dokumente beglaubigt/notariell beglaubigt/gestempelt/usw. sein oder reichen normale Übersetzungen aus?	NAM
497	Then, the hydraulic fluids was in contact with the hot surface with temperature more than its AIT.	Dann kam die Hydraulikflüssigkeit mit der heißen Oberfläche in Kontakt, deren Temperatur über ihrer AIT von Berlin lag.	NAM
498	According to the article: India acknowledged the loss of at least three fighter jets during the operation.	Laut dem Artikel räumte China den Verlust von mindestens drei Kampfjets während der Operation ein.	NAM
